0,0,0,0,0,0,195,195,0,100,0,0,0,0,0,0,40,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,20
0,0,0,0,40,0,0,40,0,40,0,40,0,0,0,0,195,0,0,20,40,0,0,0,0,0,0,39,0,0,0,0,0
0,0,40,39,0,78,20,0,0,40,78,0,0,0,40,78,0,0,0,0,0,20,0,0,40,0,0,0,0,0,0,0,20
0,0,195,78,100,100,0,20,0,78,40,0,0,78,100,78,0,0,0,0,40,195,195,100,40,0,0,0,0,0,0,0,0
195,78,0,0,78,0,20,40,195,78,40,195,78,78,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,20,100,20,0,100,0,0,0,0,0,0,0,0,0,0,195,40,0,0,40,0,0,39,0,0,0,0,20
0,0,0,0,0,0,40,0,0,20,0,40,0,78,0,0,0,0,0,0,0,0,0,0,195,195,0,0,0,0,0,0,0
0,0,195,0,40,100,0,0,0,39,0,0,0,0,100,0,195,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
40,40,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,40,0,195,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,195,40,0,0,39,0,0,0,0,0
0,0,0,0,20,0,40,0,20,100,0,0,0,100,0,0,39,0,0,0,39,39,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,40,40,0,0,20,0,0,40,0,40,0,195,195,0,0,78,0,0,0,195,195,0,100,0,0,0,0,0
0,0,78,0,78,78,40,0,40,40,0,40,0,40,78,0,78,40,0,0,0,0,0,0,0,195,0,20,0,0,0,0,0
78,195,0,0,40,0,40,0,40,20,78,40,40,195,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,39,0,0,39,0,0,0,39,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0
0,0,195,78,39,195,0,0,0,0,0,0,0,0,78,78,0,0,0,0,0,0,0,78,0,0,0,39,0,0,0,78,0
40,78,0,0,78,0,20,0,0,20,100,78,78,78,0,0,78,0,0,78,78,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,39,0,78,78,0,195,0,78,0,0,0,0,78,0,0,0,0,78,0,0,0,0,0,78,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,195,0,0,0,0,40,0,0,40,0,0,0,78,78,0,78,20
40,195,0,0,39,0,0,39,39,0,195,39,39,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,78,78,78,0,0,0,78,0,40,0,0,40,78,0,0,0,0,40,0,0,40,20,0,0,0,0,0,20,0,20
0,0,78,78,20,78,0,0,0,78,0,0,0,0,195,78,78,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0
0,39,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,40,40,0,0,78,78,40,78,0,0,40,40,0,0,0,195,0,0,0,78,0,0,0,0,0,0,195,0,0
195,78,0,0,78,0,0,20,0,0,78,0,78,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,0,0,0,78,0,0,0,0,0,0,78,195,0,0,0,40,0,195,0,0,0,0,0,40,0,0,0,0,0,0,0,0
40,0,0,0,78,0,0,195,78,0,0,78,40,0,0,0,78,195,195,78,40,0,195,0,0,0,195,195,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,195,0,0,20
40,0,0,0,78,0,78,0,0,78,0,20,78,78,0,0,195,0,0,0,78,78,0,0,40,40,0,0,0,0,0,0,0
